Timestamp(Standard),CH0:Temperature(degC),CH1:Depth(dbar)
2019-04-16 13:14:45.3,12.257,6.473
2019-04-16 13:14:45.8,12.261,6.460
2019-04-16 13:14:46.3,12.244,6.458
2019-04-16 13:14:46.8,12.248,6.470
2019-04-16 13:14:47.3,12.229,6.461
2019-04-16 13:14:47.8,12.218,6.460
2019-04-16 13:14:48.3,12.207,6.473
2019-04-16 13:14:48.8,12.208,6.471
2019-04-16 13:14:49.3,12.210,6.470
2019-04-16 13:14:49.8,12.216,6.475
2019-04-16 13:14:50.3,12.230,6.473
2019-04-16 13:14:50.8,12.223,6.472
2019-04-16 13:14:51.3,12.238,6.478
2019-04-16 13:14:51.8,12.261,6.484
2019-04-16 13:14:52.3,12.255,6.480
2019-04-16 13:14:52.8,12.253,6.480
2019-04-16 13:14:53.3,12.239,6.480
2019-04-16 13:14:53.8,12.240,6.481
2019-04-16 13:14:54.3,12.256,6.487
2019-04-16 13:14:54.8,12.260,6.490
2019-04-16 13:14:55.3,12.260,6.489
2019-04-16 13:14:55.8,12.270,6.492
2019-04-16 13:14:56.3,12.277,6.483
2019-04-16 13:14:56.8,12.279,6.490
2019-04-16 13:14:57.3,12.282,6.496
2019-04-16 13:14:57.8,12.287,6.495
2019-04-16 13:14:58.3,12.292,6.496
2019-04-16 13:14:58.8,12.305,6.495
2019-04-16 13:14:59.3,12.313,6.498
2019-04-16 13:14:59.8,12.307,6.509
2019-04-16 13:15:00.3,12.299,6.507
2019-04-16 13:15:00.8,12.294,6.509
2019-04-16 13:15:01.3,12.295,6.506
2019-04-16 13:15:01.8,12.300,6.505
2019-04-16 13:15:02.3,12.306,6.511
2019-04-16 13:15:02.8,12.309,6.516
2019-04-16 13:15:03.3,12.310,6.516
2019-04-16 13:15:03.8,12.311,6.513
2019-04-16 13:15:04.3,12.312,6.515
2019-04-16 13:15:04.8,12.315,6.519
2019-04-16 13:15:05.3,12.320,6.524
2019-04-16 13:15:05.8,12.326,6.522
2019-04-16 13:15:06.3,12.332,6.523
2019-04-16 13:15:06.8,12.337,6.520
2019-04-16 13:15:07.3,12.342,6.528
2019-04-16 13:15:07.8,12.349,6.535
2019-04-16 13:15:08.3,12.357,6.532
2019-04-16 13:15:08.8,12.365,6.533
2019-04-16 13:15:09.3,12.372,6.534
2019-04-16 13:15:09.8,12.378,6.541
2019-04-16 13:15:10.3,12.384,6.544
2019-04-16 13:15:10.8,12.389,6.540
2019-04-16 13:15:11.3,12.394,6.544
2019-04-16 13:15:11.8,12.399,6.545
2019-04-16 13:15:12.3,12.405,6.551
2019-04-16 13:15:12.8,12.416,6.553
2019-04-16 13:15:13.3,12.423,6.555
2019-04-16 13:15:13.8,12.391,6.550
2019-04-16 13:15:14.3,12.368,6.558
2019-04-16 13:15:14.8,12.341,6.555
2019-04-16 13:15:15.3,12.343,6.559
2019-04-16 13:15:15.8,12.329,6.554
2019-04-16 13:15:16.3,12.331,6.553
2019-04-16 13:15:16.8,12.334,6.554
2019-04-16 13:15:17.3,12.333,6.563
2019-04-16 13:15:17.8,12.326,6.563
2019-04-16 13:15:18.3,12.314,6.569
2019-04-16 13:15:18.8,12.313,6.563
2019-04-16 13:15:19.3,12.323,6.559
2019-04-16 13:15:19.8,12.332,6.558
2019-04-16 13:15:20.3,12.350,6.561
2019-04-16 13:15:20.8,12.364,6.566
2019-04-16 13:15:21.3,12.383,6.572
2019-04-16 13:15:21.8,12.403,6.576
2019-04-16 13:15:22.3,12.422,6.578
2019-04-16 13:15:22.8,12.440,6.579
2019-04-16 13:15:23.3,12.456,6.593
2019-04-16 13:15:23.8,12.465,6.592
2019-04-16 13:15:24.3,12.472,6.593
2019-04-16 13:15:24.8,12.477,6.590
2019-04-16 13:15:25.3,12.486,6.593
2019-04-16 13:15:25.8,12.492,6.592
2019-04-16 13:15:26.3,12.500,6.598
2019-04-16 13:15:26.8,12.507,6.596
2019-04-16 13:15:27.3,12.514,6.604
2019-04-16 13:15:27.8,12.518,6.597
2019-04-16 13:15:28.3,12.524,6.603
2019-04-16 13:15:28.8,12.532,6.605
2019-04-16 13:15:29.3,12.537,6.613
2019-04-16 13:15:29.8,12.541,6.610
2019-04-16 13:15:30.3,12.543,6.610
2019-04-16 13:15:30.8,12.544,6.613
2019-04-16 13:15:31.3,12.544,6.612
2019-04-16 13:15:31.8,12.544,6.615
2019-04-16 13:15:32.3,12.542,6.608
2019-04-16 13:15:32.8,12.539,6.620
2019-04-16 13:15:33.3,12.537,6.623
2019-04-16 13:15:33.8,12.537,6.616
2019-04-16 13:15:34.3,12.537,6.621
2019-04-16 13:15:34.8,12.540,6.626
2019-04-16 13:15:35.3,12.541,6.630
2019-04-16 13:15:35.8,12.548,6.633
2019-04-16 13:15:36.3,12.553,6.629
2019-04-16 13:15:36.8,12.557,6.641
2019-04-16 13:15:37.3,12.561,6.628
2019-04-16 13:15:37.8,12.562,6.633
2019-04-16 13:15:38.3,12.563,6.630
2019-04-16 13:15:38.8,12.569,6.632
2019-04-16 13:15:39.3,12.575,6.642
2019-04-16 13:15:39.8,12.582,6.636
2019-04-16 13:15:40.3,12.589,6.639
2019-04-16 13:15:40.8,12.597,6.645
2019-04-16 13:15:41.3,12.604,6.645
2019-04-16 13:15:41.8,12.612,6.648
