Timestamp(Standard),CH0:Temperature(degC),CH1:Depth(dbar)
2022-07-21 11:43:31,27.344,-0.144
2022-07-21 11:43:32,27.358,-0.143
2022-07-21 11:43:33,27.362,-0.137
2022-07-21 11:43:34,27.364,-0.140
2022-07-21 11:43:35,27.362,-0.137
2022-07-21 11:43:36,27.362,-0.144
2022-07-21 11:43:37,27.363,-0.133
2022-07-21 11:43:38,27.368,-0.136
2022-07-21 11:43:39,27.368,-0.132
2022-07-21 11:43:40,27.366,-0.128
2022-07-21 11:43:41,27.315,-0.135
2022-07-21 11:43:42,27.249,-0.142
2022-07-21 11:43:43,27.209,-0.148
2022-07-21 11:43:44,27.184,-0.154
2022-07-21 11:43:45,27.159,-0.149
2022-07-21 11:43:46,27.145,-0.157
2022-07-21 11:43:47,27.136,-0.155
2022-07-21 11:43:48,27.146,-0.162
2022-07-21 11:43:49,27.156,-0.148
2022-07-21 11:43:50,27.170,-0.150
2022-07-21 11:43:51,27.173,-0.151
2022-07-21 11:43:52,27.192,-0.145
2022-07-21 11:43:53,27.213,-0.149
2022-07-21 11:43:54,27.181,-0.151
2022-07-21 11:43:55,27.129,-0.154
2022-07-21 11:43:56,27.190,-0.147
2022-07-21 11:43:57,29.565,0.122
2022-07-21 11:43:58,30.037,0.166
2022-07-21 11:43:59,30.020,0.178
2022-07-21 11:44:00,31.245,0.310
2022-07-21 11:44:01,31.933,0.382
2022-07-21 11:44:02,29.271,0.089
2022-07-21 11:44:03,31.088,0.296
2022-07-21 11:44:04,32.069,0.407
2022-07-21 11:44:05,29.956,0.165
2022-07-21 11:44:06,30.717,0.264
2022-07-21 11:44:07,31.957,0.392
2022-07-21 11:44:08,30.191,0.196
2022-07-21 11:44:09,31.816,0.382
2022-07-21 11:44:10,32.094,0.412
2022-07-21 11:44:11,30.442,0.215
2022-07-21 11:44:12,30.949,0.286
2022-07-21 11:44:13,32.013,0.398
2022-07-21 11:44:14,29.793,0.149
2022-07-21 11:44:15,31.528,0.349
2022-07-21 11:44:16,30.035,0.186
2022-07-21 11:44:17,29.237,0.091
2022-07-21 11:44:18,28.745,0.028
2022-07-21 11:44:19,30.375,0.222
2022-07-21 11:44:20,31.939,0.396
2022-07-21 11:44:21,31.180,0.310
2022-07-21 11:44:22,31.052,0.290
2022-07-21 11:44:23,32.350,0.439
2022-07-21 11:44:24,31.373,0.325
2022-07-21 11:44:25,29.997,0.168
2022-07-21 11:44:26,29.394,0.103
2022-07-21 11:44:27,29.215,0.083
2022-07-21 11:44:28,29.520,0.114
2022-07-21 11:44:29,32.741,0.486
2022-07-21 11:44:30,31.752,0.365
2022-07-21 11:44:31,30.202,0.196
2022-07-21 11:44:32,29.556,0.111
2022-07-21 11:44:33,29.155,0.078
2022-07-21 11:44:34,31.717,0.373
2022-07-21 11:44:35,30.932,0.278
2022-07-21 11:44:36,31.142,0.297
2022-07-21 11:44:37,29.900,0.151
2022-07-21 11:44:38,29.538,0.104
2022-07-21 11:44:39,29.079,0.050
2022-07-21 11:44:40,31.181,0.297
2022-07-21 11:44:41,30.678,0.240
2022-07-21 11:44:42,30.046,0.165
2022-07-21 11:44:43,32.625,0.467
2022-07-21 11:44:44,30.430,0.206
2022-07-21 11:44:45,31.398,0.314
2022-07-21 11:44:46,30.701,0.238
2022-07-21 11:44:47,30.088,0.163
2022-07-21 11:44:48,30.025,0.149
2022-07-21 11:44:49,29.977,0.155
2022-07-21 11:44:50,29.950,0.144
2022-07-21 11:44:51,29.934,0.140
2022-07-21 11:44:52,29.900,0.140
2022-07-21 11:44:53,29.870,0.133
2022-07-21 11:44:54,29.834,0.127
2022-07-21 11:44:55,29.820,0.115
2022-07-21 11:44:56,29.808,0.116
2022-07-21 11:44:57,29.800,0.115
2022-07-21 11:44:58,29.792,0.118
2022-07-21 11:44:59,29.788,0.116
2022-07-21 11:45:00,29.787,0.124
2022-07-21 11:45:01,29.783,0.115
2022-07-21 11:45:02,29.781,0.108
2022-07-21 11:45:03,29.781,0.102
2022-07-21 11:45:04,29.781,0.112
2022-07-21 11:45:05,29.781,0.105
2022-07-21 11:45:06,29.783,0.110
2022-07-21 11:45:07,29.782,0.107
2022-07-21 11:45:08,29.782,0.103
2022-07-21 11:45:09,29.784,0.104
2022-07-21 11:45:10,29.785,0.101
2022-07-21 11:45:11,29.786,0.102
2022-07-21 11:45:12,29.786,0.099
2022-07-21 11:45:13,29.787,0.103
2022-07-21 11:45:14,29.788,0.099
2022-07-21 11:45:15,29.787,0.098
2022-07-21 11:45:16,29.791,0.095
2022-07-21 11:45:17,29.129,0.021
2022-07-21 11:45:18,28.905,-0.007
2022-07-21 11:45:19,28.818,-0.010
2022-07-21 11:45:20,28.235,-0.073
2022-07-21 11:45:21,27.975,-0.108
2022-07-21 11:45:22,27.897,-0.121
2022-07-21 11:45:23,28.018,-0.103
2022-07-21 11:45:24,28.170,-0.098
2022-07-21 11:45:25,28.243,-0.085
2022-07-21 11:45:26,28.238,-0.079
2022-07-21 11:45:27,28.338,-0.071
2022-07-21 11:45:28,28.370,-0.071
2022-07-21 11:45:29,28.382,-0.075
2022-07-21 11:45:30,28.402,-0.066
2022-07-21 11:45:31,28.325,-0.071
2022-07-21 11:45:32,31.082,0.241
2022-07-21 11:45:33,32.719,0.432
2022-07-21 11:45:34,32.597,0.407
2022-07-21 11:45:35,31.087,0.236
2022-07-21 11:45:36,31.358,0.269
2022-07-21 11:45:37,32.563,0.399
2022-07-21 11:45:38,33.000,0.462
2022-07-21 11:45:39,32.440,0.388
2022-07-21 11:45:40,31.002,0.226
2022-07-21 11:45:41,31.871,0.331
2022-07-21 11:45:42,32.845,0.434
2022-07-21 11:45:43,33.329,0.489
2022-07-21 11:45:44,33.460,0.500
2022-07-21 11:45:45,31.567,0.283
2022-07-21 11:45:46,30.694,0.191
2022-07-21 11:45:47,32.262,0.362
2022-07-21 11:45:48,32.971,0.433
2022-07-21 11:45:49,31.666,0.287
2022-07-21 11:45:50,30.918,0.204
2022-07-21 11:45:51,30.704,0.181
2022-07-21 11:45:52,31.406,0.256
2022-07-21 11:45:53,31.687,0.295
2022-07-21 11:45:54,30.558,0.164
2022-07-21 11:45:55,29.812,0.082
2022-07-21 11:45:56,29.574,0.042
2022-07-21 11:45:57,29.434,0.029
2022-07-21 11:45:58,29.451,0.025
2022-07-21 11:45:59,29.471,0.033
2022-07-21 11:46:00,29.458,0.027
2022-07-21 11:46:01,29.403,0.013
2022-07-21 11:46:02,29.380,0.024
2022-07-21 11:46:03,29.371,0.012
2022-07-21 11:46:04,29.343,0.012
2022-07-21 11:46:05,29.330,0.010
2022-07-21 11:46:06,29.314,0.010
2022-07-21 11:46:07,29.287,0.000
2022-07-21 11:46:08,29.251,-0.003
