Timestamp(Standard),CH0:Temperature(degC),CH1:Depth(dbar)
2024-01-09 16:21:36,28.755,6.296
2024-01-09 16:22:36,28.749,13.342
2024-01-09 16:23:36,28.675,19.675
2024-01-09 16:24:36,28.667,25.227
2024-01-09 16:25:36,28.571,30.419
2024-01-09 16:26:36,28.260,34.900
2024-01-09 16:27:36,27.909,37.789
2024-01-09 16:28:36,27.542,38.868
2024-01-09 16:29:36,27.463,39.182
2024-01-09 16:30:36,27.449,39.371
2024-01-09 16:31:36,27.492,39.417
2024-01-09 16:32:36,27.633,39.426
2024-01-09 16:33:36,27.838,39.385
2024-01-09 16:34:36,27.898,39.343
2024-01-09 16:35:36,27.909,39.274
2024-01-09 16:36:36,27.917,39.209
2024-01-09 16:37:36,27.933,39.079
2024-01-09 16:38:36,27.962,38.879
2024-01-09 16:39:36,27.982,38.775
2024-01-09 16:40:36,27.997,38.587
2024-01-09 16:41:36,27.996,38.399
2024-01-09 16:42:36,28.010,38.258
2024-01-09 16:43:36,28.031,38.165
2024-01-09 16:44:36,28.038,38.215
2024-01-09 16:45:36,28.097,38.185
2024-01-09 16:46:36,28.117,38.235
2024-01-09 16:47:36,28.200,38.125
2024-01-09 16:48:36,28.226,37.989
2024-01-09 16:49:36,28.228,37.762
2024-01-09 16:50:36,28.224,37.527
2024-01-09 16:51:36,28.209,37.368
2024-01-09 16:52:36,28.160,37.184
2024-01-09 16:53:36,28.122,37.057
2024-01-09 16:54:36,28.103,37.042
2024-01-09 16:55:36,28.093,37.055
2024-01-09 16:56:36,28.087,37.026
2024-01-09 16:57:36,28.053,36.999
2024-01-09 16:58:36,28.039,37.054
2024-01-09 16:59:36,28.022,37.161
2024-01-09 17:00:36,28.015,37.329
2024-01-09 17:01:36,28.012,37.476
2024-01-09 17:02:36,28.027,37.594
2024-01-09 17:03:36,28.056,37.632
2024-01-09 17:04:36,28.094,37.599
2024-01-09 17:05:36,28.107,37.468
2024-01-09 17:06:36,28.107,37.305
2024-01-09 17:07:36,28.086,37.073
2024-01-09 17:08:36,28.026,36.964
2024-01-09 17:09:36,27.986,36.944
2024-01-09 17:10:36,27.975,36.909
2024-01-09 17:11:36,27.960,37.014
2024-01-09 17:12:36,27.953,37.057
2024-01-09 17:13:36,27.944,37.157
2024-01-09 17:14:36,27.950,37.231
2024-01-09 17:15:36,27.968,37.364
2024-01-09 17:16:36,27.994,37.544
2024-01-09 17:17:36,28.027,37.594
2024-01-09 17:18:36,28.060,37.506
2024-01-09 17:19:36,28.097,37.389
2024-01-09 17:20:36,28.104,37.250
2024-01-09 17:21:36,28.106,37.148
2024-01-09 17:22:36,28.123,37.064
2024-01-09 17:23:36,28.149,36.903
2024-01-09 17:24:36,28.178,36.770
2024-01-09 17:25:36,28.181,36.466
2024-01-09 17:26:36,28.179,36.142
2024-01-09 17:27:36,28.185,35.826
2024-01-09 17:28:36,28.196,35.639
2024-01-09 17:29:36,28.211,35.524
2024-01-09 17:30:36,28.223,35.357
2024-01-09 17:31:36,28.235,35.262
2024-01-09 17:32:36,28.240,35.096
2024-01-09 17:33:36,28.251,34.946
2024-01-09 17:34:36,28.256,34.874
2024-01-09 17:35:36,28.264,34.790
2024-01-09 17:36:36,28.269,34.687
2024-01-09 17:37:36,28.282,34.460
2024-01-09 17:38:36,28.306,34.286
2024-01-09 17:39:36,28.314,34.190
