Temper	Depth	Date	Time
27.48	9.96	14/04/2022	16:18:22
27.48	14.54	14/04/2022	16:19:22
27.48	19.11	14/04/2022	16:20:22
27.48	22.40	14/04/2022	16:21:22
27.48	25.15	14/04/2022	16:22:22
27.48	26.61	14/04/2022	16:23:22
27.48	27.34	14/04/2022	16:24:22
27.48	27.34	14/04/2022	16:25:22
27.48	27.34	14/04/2022	16:26:22
27.48	27.34	14/04/2022	16:27:22
27.48	27.34	14/04/2022	16:28:22
27.48	27.34	14/04/2022	16:29:22
27.48	26.98	14/04/2022	16:30:22
27.48	26.98	14/04/2022	16:31:22
27.48	26.61	14/04/2022	16:32:22
27.48	26.61	14/04/2022	16:33:22
27.48	26.43	14/04/2022	16:34:22
27.48	26.43	14/04/2022	16:35:22
27.48	26.06	14/04/2022	16:36:22
27.48	26.06	14/04/2022	16:37:22
27.48	26.06	14/04/2022	16:38:22
27.48	26.06	14/04/2022	16:39:22
27.48	25.70	14/04/2022	16:40:22
27.48	25.70	14/04/2022	16:41:22
27.48	25.70	14/04/2022	16:42:22
27.48	25.51	14/04/2022	16:43:22
27.48	25.15	14/04/2022	16:44:22
27.48	25.15	14/04/2022	16:45:22
27.48	25.15	14/04/2022	16:46:22
27.48	25.15	14/04/2022	16:47:22
27.48	24.78	14/04/2022	16:48:22
27.48	24.23	14/04/2022	16:49:22
27.48	23.68	14/04/2022	16:50:22
27.48	23.68	14/04/2022	16:51:22
27.48	23.68	14/04/2022	16:52:22
27.48	23.68	14/04/2022	16:53:22
27.48	23.68	14/04/2022	16:54:22
27.48	24.05	14/04/2022	16:55:22
27.48	23.68	14/04/2022	16:56:22
27.48	23.68	14/04/2022	16:57:22
27.48	23.13	14/04/2022	16:58:22
27.48	23.13	14/04/2022	16:59:22
27.48	23.50	14/04/2022	17:00:22
27.48	23.50	14/04/2022	17:01:22
27.48	23.50	14/04/2022	17:02:22
27.48	23.50	14/04/2022	17:03:22
27.48	23.50	14/04/2022	17:04:22
27.48	23.50	14/04/2022	17:05:22
27.48	23.13	14/04/2022	17:06:22
27.48	22.77	14/04/2022	17:07:22
27.48	22.77	14/04/2022	17:08:22
27.48	22.77	14/04/2022	17:09:22
27.48	22.77	14/04/2022	17:10:22
27.48	22.77	14/04/2022	17:11:22
27.48	22.77	14/04/2022	17:12:22
27.48	22.77	14/04/2022	17:13:22
27.48	22.77	14/04/2022	17:14:22
27.48	22.77	14/04/2022	17:15:22
27.48	22.40	14/04/2022	17:16:22
27.48	22.40	14/04/2022	17:17:22
27.48	22.40	14/04/2022	17:18:22
27.48	22.40	14/04/2022	17:19:22
27.48	22.77	14/04/2022	17:20:22
27.48	22.77	14/04/2022	17:21:22
27.48	22.77	14/04/2022	17:22:22
